,EmployeeNumber,Gender,EducationField,Age,MaritalStatus,Department,JobRole,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,1,Female,Life Sciences,41,Single,Sales,Sales Executive,Yes,Travel_Rarely,1102,1,2,2,94,3,2,4,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5
1,2,Male,Life Sciences,49,Married,Research & Development,Research Scientist,No,Travel_Frequently,279,8,1,3,61,2,2,2,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7
2,4,Male,Other,37,Single,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1373,2,2,4,92,2,1,3,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0
3,5,Female,Life Sciences,33,Married,Research & Development,Research Scientist,No,Travel_Frequently,1392,3,4,4,56,3,1,3,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0
4,7,Male,Medical,27,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,591,2,1,1,40,3,1,2,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2
5,8,Male,Life Sciences,32,Single,Research & Development,Laboratory Technician,No,Travel_Frequently,1005,2,2,4,79,3,1,4,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6
6,10,Female,Medical,59,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1324,3,3,3,81,4,1,1,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0
7,11,Male,Life Sciences,30,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,1358,24,1,4,67,3,1,3,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0
8,12,Male,Life Sciences,38,Single,Research & Development,Manufacturing Director,No,Travel_Frequently,216,23,3,4,44,2,3,3,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8
9,13,Male,Medical,36,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,1299,27,3,3,94,3,2,3,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7
10,14,Male,Medical,35,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,809,16,3,1,84,4,1,2,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3
11,15,Female,Life Sciences,29,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,153,15,2,4,49,2,2,3,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8
12,16,Male,Life Sciences,31,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,670,26,1,1,31,3,1,3,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3
